cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,
x,f,y,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d,e,0
b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,p,0
f,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g,e,0
b,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e,0
b,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,m,e,0
b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e,0
b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e,0
x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,p,0
s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u,p,0
f,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u,e,0
x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e,0
f,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p,e,0
x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g,p,0
b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e,0
f,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u,e,0
b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e,0
x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,p,e,0
x,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g,e,0
x,s,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e,0
b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m,p,0
f,s,y,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,p,0
x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e,0
f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u,e,0
b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e,0
x,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e,0
f,s,w,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,e,0
x,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e,0
b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g,e,0
x,f,w,f,n,f,,b,h,t,f,s,w,w,p,w,o,e,k,s,g,e,1
f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p,e,0
x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,p,0
b,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e,0
b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e,0
b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e,0
b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g,e,0
x,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e,0
b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e,0
x,f,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,p,0
x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u,e,0
f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g,e,0
b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e,0
x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e,0
s,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,e,0
x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e,0
x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g,p,0
x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g,e,0
f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e,0
x,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e,0
b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e,0
x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u,p,0
b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e,0
x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,k,y,u,e,0
x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u,p,0
x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p,e,0
f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u,e,0
b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,p,0
x,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e,0
x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e,0
b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g,e,0
f,y,y,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p,e,0
f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,p,0
x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e,0
x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u,p,0
f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d,e,0
x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,s,w,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d,e,0
x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e,0
f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,e,0
x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g,e,0
f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g,p,0
x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g,p,0
s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,v,u,e,0
b,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m,e,0
b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e,0
b,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e,0
f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,e,0
x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e,0
b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g,e,0
b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e,0
f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g,p,0
x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g,p,0
x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e,0
x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e,0
f,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d,e,0
f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u,e,0
f,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,a,g,e,0
x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e,0
b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e,0
f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u,p,0
x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,p,0
f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,u,p,0
x,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e,0
f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p,e,0
x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,p,e,0
f,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g,e,0
x,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,p,0
f,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g,e,0
x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,p,0
x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g,p,0
b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e,0
s,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,,n,v,u,e,1
x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e,0
b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e,0
f,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g,e,0
b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e,0
b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p,e,0
f,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,y,u,e,0
x,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u,e,0
b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e,0
x,s,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e,0
b,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g,e,0
x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e,0
b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e,0
x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e,0
x,f,g,f,n,f,w,b,p,t,f,f,w,w,p,w,o,e,k,s,g,e,0
